branch_id,branch_name,address,city,state,zip_code,region,branch_type,open_date,manager_name,phone,total_deposits,total_loans,employee_count
BR023,Riverachester Branch,685 Reyes Locks,Mariafort,FL,33539,West,ATM Only,2006-02-11,Benjamin Gonzalez,(766)309-1562x16928,76429053,8616779,10
BR024,West Ernest Branch,1976 Mallory Pines Apt. 099,New Alyssashire,WV,49988,Southwest,Full Service,2013-07-30,Patrick Mason,387-590-2154x3860,66650008,37219762,17
BR025,Michaelshire Branch,917 Singh Alley,Lake Joshua,NC,32234,Northeast,ATM Only,2024-02-27,Erika Robles,761-734-6958,39803996,6887706,19
BR026,Hawkinsmouth Branch,0887 Gonzales Rue,East Randyside,MS,12572,Midwest,ATM Only,2019-02-11,Elizabeth Bell,001-337-508-3680,87122417,37880656,22
BR027,North Williamtown Branch,27338 Sean Tunnel Suite 553,New Kaylamouth,FL,34678,Southwest,ATM Only,2007-04-09,Richard Roberts,479.537.1381,74141109,11587093,8
BR028,Contreraschester Branch,7316 Billy Flat Suite 849,South Royfort,UT,03825,Southeast,Limited Service,2020-01-17,Shirley Taylor,444-554-8024,72289668,49025180,7
BR029,Port Carolville Branch,62199 Ryan Rest Apt. 876,East Darlenefort,OR,66238,Southwest,Full Service,2010-04-28,Kathryn Myers,001-976-504-8521x9447,61896746,14700281,19
BR030,Adamton Branch,5484 Hoffman Trafficway Suite 163,Rogerfurt,SD,11966,West,Limited Service,2010-04-27,Tony Gomez,831.292.8993,59043005,49876407,25
BR031,Whitetown Branch,3458 Thomas Drive,Sharptown,NE,15936,Northeast,Limited Service,2015-12-15,Jaime Kennedy,(432)955-4261x998,15549506,28664653,22
BR032,Brooksside Branch,2817 Heather Inlet Suite 104,Geraldside,MS,67442,Southwest,Full Service,2012-03-30,Alison Oliver,+1-304-391-3611x28201,20349556,39560935,3
BR033,New Tinaville Branch,39029 Holly Shores Suite 761,New Stacy,KS,57862,Southwest,ATM Only,2011-03-02,Billy Mendoza,(992)888-9089x4406,22484964,34171147,24
BR034,Jacksonfurt Branch,398 Thomas Brooks,New Aliciamouth,MP,20514,Southwest,Limited Service,2016-03-26,Tina Yates,613-638-6063,46378575,49968294,22
BR035,West Kristina Branch,089 Megan Center,East Samantha,RI,55383,Northeast,ATM Only,2005-11-19,Tricia Pope,589-791-0759x479,90001599,11049815,12
BR036,Joshuastad Branch,7008 Phillips Spring,North Andrewshire,OH,20109,Northeast,ATM Only,2010-04-22,Mrs. Patricia Dean,5818851652,23963193,43008584,17
BR037,Garciachester Branch,63276 Armstrong Garden,Ericburgh,MS,95773,Northeast,ATM Only,2012-12-06,Tracy Pruitt,426.794.8045,91005205,6117498,7
BR038,Martinshire Branch,255 Elizabeth Orchard,Lake William,CT,21727,West,Limited Service,2016-10-18,Michelle Ross,943.752.3613x7325,64658062,20376683,17
BR039,North Kevin Branch,0991 Patricia Turnpike Apt. 851,South Jacob,HI,44137,Northeast,Full Service,2016-03-03,Michael Murray,913-362-4384,51305715,25337550,25
BR040,Brittneyton Branch,0393 Robert Mills,Lucasfort,OK,81075,Southwest,Limited Service,2016-01-22,James Merritt,363-581-5487x9074,48379224,17392649,24
BR041,Jenniferview Branch,01316 Wu Knoll Apt. 276,Millerfort,TX,44798,West,Full Service,2023-07-13,Linda Hicks,001-453-813-5953x6062,46993215,44139923,10
BR042,South Neil Branch,2481 Nicole Hollow Suite 336,Ericfurt,NV,10218,West,Full Service,2020-09-07,Theresa Lutz,(888)850-9829,98572447,44705959,3
BR043,Curtiston Branch,16517 Richard Track Suite 581,Wendytown,MH,14883,Midwest,ATM Only,2014-06-24,Austin Stone,293-481-7227x88832,40430163,48443484,9
BR044,South Paul Branch,825 Amy Overpass Suite 361,Wolfeville,MN,13416,Northeast,Limited Service,2017-11-01,Leonard Ward,(699)269-9602x268,98827016,49070613,22
BR045,Amandabury Branch,047 Ronald Lane Apt. 326,Davidside,MP,55707,Northeast,Full Service,2008-10-24,Brianna Wheeler,(849)861-0667,25666782,45681007,24
BR046,North Patricialand Branch,195 Ballard Shoal,Warrenchester,DE,58997,Southeast,Full Service,2014-08-16,Elizabeth Mcdonald,+1-506-601-0497,86023835,19347905,15
BR047,East Amandafort Branch,88617 Estrada Parkway Suite 664,Harrisonfurt,ME,76031,Southwest,Full Service,2021-08-11,Pamela Sanders,8595007964,94071645,14075539,11
BR048,West Brittany Branch,33318 Daniel Cape,Port Russellland,NC,52792,Midwest,Limited Service,2014-07-05,Robert Beasley,(449)876-9371x68785,93608989,22383089,5
BR049,Contrerasberg Branch,0882 Kyle Forest,Lydiaside,OK,03203,Southeast,Limited Service,2011-01-24,Kristen Mcdaniel,834.968.9042,64030399,33821112,18
BR050,Crystalhaven Branch,20163 Ashley Avenue,Josephport,GA,95636,Southwest,Limited Service,2023-10-22,Andrea Jackson,379-557-7064x2674,63044129,22741799,19
BR051,Gonzalezside Branch,55441 Collins Manors,New Heathertown,MN,48965,Midwest,Limited Service,2024-03-17,Dorothy Irwin,+1-521-816-0770,34264689,22100586,7
BR052,Port Melissa Branch,26906 Alexander Club,Roblesside,NH,73509,Southeast,ATM Only,2023-03-17,Jennifer Smith,608-745-0674x76587,46785362,49303500,15
BR053,Ramosmouth Branch,54998 Padilla Square Suite 681,Navarromouth,SC,25701,West,Limited Service,2013-10-14,Mark Hall,001-667-313-2673x9674,69435805,12407325,3
BR054,Campbellfort Branch,79855 Ellis Inlet Suite 997,Hamptonton,NV,86748,Southwest,Limited Service,2008-07-15,Shawn Lopez,001-822-397-6833x8976,30716386,16567971,16
BR055,Fowlerbury Branch,0958 Salazar Plaza Apt. 629,East Brendaside,WA,37717,West,Limited Service,2024-03-07,Heather Richardson,511-518-7378,94871887,32145861,20
BR056,South Jamesside Branch,74167 Guerrero Way,Michelefurt,IL,01084,Midwest,ATM Only,2008-03-30,Todd Bauer,001-580-522-1541x1108,29393297,9071316,8
BR057,Danielleside Branch,216 Brown Inlet Apt. 660,Lawrenceview,AS,24268,Northeast,Limited Service,2019-06-14,Tammy Jimenez,880-755-9424,55200912,44797243,21
BR058,Ralphborough Branch,6140 Amanda Motorway,West James,SD,35051,Northeast,Limited Service,2014-03-06,Dr. Ana Hendricks,7559181441,19449997,17427673,8
BR059,Lake Wendyborough Branch,78430 Samuel Locks,Port Samantha,AK,44428,Midwest,Full Service,2009-08-24,Alex Peters,001-785-686-2135x650,95960597,18249598,24
BR060,South Lauramouth Branch,21138 Megan Plaza,Millerside,KY,69246,West,Limited Service,2016-11-01,Christina Andrade,(766)312-4222x7761,61520811,40202635,9
BR061,Petersontown Branch,9345 Lee Estate Suite 596,Port Amyhaven,WI,44008,Southeast,ATM Only,2018-03-16,Edgar Morales,+1-970-509-2344x581,40972978,19247591,21
BR062,North Mary Branch,68583 Melanie Manors,Lake Philip,AK,69447,Northeast,ATM Only,2019-02-01,Tyler Wallace,427.712.1829x105,27157191,49479189,15
BR063,Perezberg Branch,69094 Alvarez Port Apt. 109,West Marcusport,WY,99815,Southeast,ATM Only,2020-10-05,James Brooks,(237)240-6759x081,97903885,36891367,7
BR064,Port Jonathan Branch,22665 Zachary Groves Apt. 115,Donovanmouth,UT,70067,Southwest,Full Service,2018-02-13,Ashley Martinez,341.347.8713,40669043,37004103,10
BR065,North Samantha Branch,09298 Franco Gardens Apt. 595,West Jessica,FL,78785,Southeast,ATM Only,2022-06-29,Rebecca Brown,(498)405-7922x7907,69405453,17949839,4
BR066,Lynnside Branch,757 Jones Cliffs,Hillmouth,AL,29351,Northeast,ATM Only,2015-10-29,Makayla Howard,616.988.5337,85619552,23744227,10
BR067,Patrickburgh Branch,30857 Ashley Terrace,New Richardville,CA,14742,Southeast,Limited Service,2014-05-26,Natasha Thompson,001-488-869-6091x6920,13234183,30822708,23
BR068,North Tammystad Branch,6599 Ariel Overpass Suite 878,Codymouth,VT,25356,Southeast,Full Service,2012-10-31,Gordon Lucas,6284556310,29273325,11737259,17
BR069,Lake Norma Branch,92753 Justin Highway Apt. 113,Campbellville,IA,23404,Southeast,ATM Only,2015-04-04,Valerie Miles,356-719-4142,30112282,27638037,9
BR070,South Veronica Branch,66133 Patrick Extension,North Jamieborough,HI,93487,Southwest,Full Service,2019-11-20,Brad Brown,(358)255-4302x8627,56665169,32724044,25
BR071,Karenfort Branch,432 Joseph Crossroad,Gregorytown,WV,52539,Midwest,Limited Service,2020-10-21,Susan Stephens,465.617.4831,95201389,28570675,19
BR072,Stevenfurt Branch,06649 Hammond Squares,Reeseville,GA,04351,Northeast,ATM Only,2010-10-09,Jennifer Cox,564-660-6678,94367879,23247461,24
BR073,Solisberg Branch,1523 Chapman Stream,Brianside,KS,62648,West,Limited Service,2010-10-19,Kim Watson,983.681.1660x05069,13121180,13843534,8
BR074,West Travisside Branch,463 Kristin Roads Apt. 527,Lake Josephstad,ID,30115,Southwest,ATM Only,2012-12-23,Rita Thompson,+1-693-635-1532x737,39165976,36849419,6
BR075,North Peter Branch,122 Alexander Street,North Joefort,PR,60333,Midwest,Limited Service,2008-11-14,George Frye,476-398-2315x012,56699370,33748895,22
BR076,Beckerstad Branch,52453 Nancy Neck,North Terriview,IA,78996,Northeast,ATM Only,2022-06-08,Laurie Contreras,823.296.2728x47801,78127292,41372952,13
BR077,New Amanda Branch,868 Schaefer Cove Apt. 100,Brownton,AZ,52823,Southeast,Limited Service,2009-11-09,Mckenzie Smith,684.588.9049x1570,81209203,32210584,12
BR078,Port Anthony Branch,305 Ann Light,Johnsonville,PA,07882,Southeast,Limited Service,2008-01-04,Morgan Sellers,297-598-0650x0809,93812090,44905455,7
BR079,Devonfort Branch,6270 Campbell Freeway,New Gary,PA,15795,Southeast,Full Service,2016-06-29,Lori Jones,(808)529-2423,25178438,10151097,6
BR080,Lake Shaun Branch,306 Moses Circles Suite 185,Meganstad,ME,31445,West,Limited Service,2011-03-31,Kyle Buchanan,(506)964-8699x78999,14509347,21482061,13
BR081,Lake John Branch,13062 Molina River,Bryantview,KY,53668,Southeast,ATM Only,2016-03-06,Christina Bishop,777.553.1985,11953110,37023620,11
BR082,Moralesland Branch,2557 Norman Corner,Edwardmouth,ME,15387,Midwest,Full Service,2019-12-25,Patricia Hall,859-221-0562x65478,57580273,41400338,24
BR083,East Rebecca Branch,08023 Phillips Harbors,South Seanshire,RI,73571,Southeast,Full Service,2017-09-25,Joshua Peterson,(490)265-7184x090,20697154,43992148,11
BR084,East Steve Branch,5736 Richard Causeway Suite 301,Alexanderville,ME,80111,Midwest,Full Service,2020-12-29,Robert Watkins,230-290-2435x035,35642774,35441263,3
BR085,Allenfort Branch,620 Samuel Square Apt. 467,Evanfort,NJ,87393,Southeast,Full Service,2007-07-28,Lisa Ball,(957)918-2574x58070,93196745,40670036,21
BR086,Whitetown Branch,745 Medina Trail,Roystad,MT,48497,Northeast,ATM Only,2014-08-17,Tiffany Johnson,001-825-249-7215x40686,11781370,14995797,15
BR087,North John Branch,09666 Flores Hill,Port Joseph,GU,30865,Southeast,ATM Only,2022-02-13,Summer Mccullough,697.924.1946x98582,48473003,29818619,24
BR088,Port Christopherport Branch,5708 John Manor Apt. 840,Lake Tinaborough,MO,09236,Northeast,ATM Only,2017-07-08,Tanya Hall,(807)374-4718x092,94871679,36754195,4
BR089,Medinafort Branch,5844 Taylor Isle Apt. 452,Lake Ashleyfurt,WY,53071,Northeast,Limited Service,2018-01-22,Danielle Santos,001-891-237-3027x391,44239332,35345396,8
BR090,North Monica Branch,0126 Robert Branch,Robinchester,NE,52668,Midwest,Limited Service,2006-04-18,Joann Hutchinson,(979)707-4991x52244,87814759,17000170,24
BR091,Brandyfurt Branch,417 Bolton Harbors,Kimberlyburgh,MI,27172,West,ATM Only,2008-01-06,Nicole Lloyd,+1-300-229-4941x1177,86414971,23886580,22
BR092,Lake Melissashire Branch,7784 Burgess Fall,Sarahville,TX,24321,West,Full Service,2022-12-19,Spencer Mahoney,+1-449-701-6779x932,48349956,49133292,17
BR093,Pennyburgh Branch,718 Valerie Centers Apt. 180,Francismouth,AS,25644,Northeast,Limited Service,2016-02-07,Jessica Harris,843-634-5008,45929085,37740661,10
BR094,Port Kristinburgh Branch,918 Donna Canyon Apt. 893,East Susan,IA,27918,West,Limited Service,2020-09-12,Jared Barker,+1-570-559-4655x89469,83621517,32027698,24
BR095,Johnshire Branch,5236 Melissa Burg Suite 188,Lake Amyville,OH,26980,Southwest,Full Service,2019-07-03,Justin Wilson,001-672-496-4735x1154,83219622,47916599,4
BR096,West Veronicaborough Branch,6343 Stacey Manor Apt. 660,Morganside,NY,12772,West,Limited Service,2011-08-17,Diana Mccarthy,+1-617-374-3339,34836411,6261889,18
BR097,West Jerryburgh Branch,9208 Mark Garden,Port Jackstad,KS,84468,Southwest,ATM Only,2006-10-06,Kelly Reid,631-947-3367x6721,16234764,19741221,6
BR098,Mortonberg Branch,8809 Perry Ramp Apt. 975,North Alexaberg,CT,63896,Southeast,Limited Service,2019-08-01,Michelle Williamson,+1-619-256-4562x37777,67998940,39711250,6
BR099,North Rhondafurt Branch,6507 Knight Club,Alexisbury,DC,06744,Southeast,Limited Service,2016-07-15,Tommy Ramirez,737-629-9834x84090,73015254,14136989,15
BR100,South Eduardo Branch,6608 Timothy Run,Port Kevin,IL,38100,Midwest,Limited Service,2015-12-14,Taylor Rasmussen,263.474.7681x67270,66188861,15332121,17
BR101,Martinmouth Branch,2853 Hahn Summit Suite 145,Lake Shelbyton,WI,12302,Midwest,Limited Service,2012-10-10,Jennifer Williams,(652)862-5610,65066712,7637766,11
BR102,Wuview Branch,672 Matthew Mill Suite 301,East Sherry,NY,61957,Southwest,Full Service,2020-05-25,Chelsea Hicks,243-525-2437x88117,94719484,10570203,14
BR103,Daviesville Branch,824 Stephanie Stravenue Apt. 466,North Alanview,VA,59697,West,Limited Service,2019-05-04,Logan Wolfe,253.658.4546x613,33167870,32649884,6
BR104,West Jordan Branch,2914 Randy Turnpike,East Karen,PW,86316,Northeast,Limited Service,2021-03-10,Connie Reid,+1-903-327-6277x039,10821737,36440510,9
BR105,Lake Nicolebury Branch,23782 Tracy Flats Apt. 095,Taylorview,VT,31275,West,Limited Service,2009-02-06,Christina Jones,(999)987-1800x94108,97883260,22522270,11
BR106,Pattersonmouth Branch,044 Mclaughlin Stream,New Laurabury,AS,06278,Northeast,Full Service,2017-04-06,Adam Woods,291.735.5373,44727318,28633936,22
BR107,Kevinchester Branch,0849 Katie Key Suite 958,North Dylanview,NC,37486,Midwest,Full Service,2023-07-07,Steven Horn,548.765.0623,77060308,21144018,5
BR108,West Michael Branch,590 Mcintosh Knolls,Buckleyport,MD,11731,Southeast,Full Service,2024-04-14,Ryan Scott,635-539-2477x04033,20533819,42012304,20
BR109,Katherineshire Branch,233 James Light Apt. 819,Lake Elizabethside,UT,83936,Southwest,ATM Only,2015-03-24,Zachary Jackson,850.842.5809,35076662,40415946,7
BR110,Nancytown Branch,406 Charles Branch Apt. 254,North Shelbychester,NH,22714,Southwest,Limited Service,2020-03-19,Heather Williams,(700)611-8500,70222477,31930959,25
BR111,New Annburgh Branch,580 Maria Parks,Port Patrickhaven,ND,74600,Southeast,Limited Service,2010-11-27,Nicole Johnson,264.301.3905x77955,11751135,37713929,6
BR112,East Mary Branch,825 Vasquez River,Lake Joseph,SC,64888,Southeast,Full Service,2005-12-23,Jared Miller,206.274.6208x063,22237641,45511235,21
BR113,Lake Williamstad Branch,9538 Eric Islands Apt. 318,South Karenport,WV,35446,West,Limited Service,2009-04-08,Leslie Walker,(851)928-6441,25553288,39176955,14
BR114,Wrightfurt Branch,9745 Young Well,Lake Katherine,ND,78245,Southeast,ATM Only,2006-09-09,Levi Taylor,001-553-217-1033x65933,35063737,11634739,11
BR115,West Davidside Branch,5725 Miller Parks,North Monicatown,WV,97065,Southeast,ATM Only,2016-05-23,Holly Johnson,725-672-8519x20976,59263960,46488591,11
BR116,East Matthewberg Branch,70771 Christopher Run,Amandaview,MD,02993,Southeast,Full Service,2017-12-14,Rebecca Novak,212-203-2903,40315133,19544184,16
BR117,Robertstad Branch,56465 King Flats Suite 851,North Emily,CO,84504,Southwest,ATM Only,2016-10-22,Autumn Roberts,873.207.3653x64456,41180999,11927089,15
BR118,Port Michael Branch,0505 Jessica Summit Suite 413,East Brandontown,DC,58086,West,ATM Only,2009-08-29,Sara Higgins,(647)987-3509x11852,23744056,28253567,24
BR119,West Sarahtown Branch,5578 Teresa Haven Apt. 270,Margaretburgh,OR,86601,Southwest,Limited Service,2014-11-15,James Smith,(631)301-1463x3503,76924447,41512322,7
BR120,Turnerview Branch,923 Thompson Divide Suite 542,Jodystad,GU,04116,Southwest,Full Service,2022-11-03,Michael Nicholson,(220)525-9077,12785486,48674166,22
BR121,North Taylorhaven Branch,086 Phillips Court,West Adamland,NV,60630,Midwest,ATM Only,2007-06-16,Alexandria Herrera,595-307-0754x5560,69030224,48736397,11
BR122,Grantburgh Branch,894 Steve Spurs Apt. 125,Howardmouth,PA,30343,Southwest,Full Service,2008-11-13,Jody Coleman,637.686.6127x8276,15095239,49094807,15
BR123,Sarahchester Branch,266 Bishop View Suite 949,North Jamie,PR,99322,Midwest,Full Service,2010-07-27,Kimberly Lewis,(916)318-3383x0318,49733298,5214197,12
BR124,Port Robert Branch,6576 Ward Groves Suite 697,Andrewton,OH,39415,Southwest,ATM Only,2017-11-29,James Kennedy,(308)583-5653,94900744,26089772,4
BR125,Macdonaldland Branch,8859 Kevin Heights,Ramosland,MA,37128,Southwest,Limited Service,2022-10-18,Gregory Robinson,+1-269-445-4556,79575918,40723238,17
BR126,South Justin Branch,34279 Ross Course,New Jamesstad,VI,73196,Northeast,Limited Service,2005-09-03,Lisa Ware,(643)461-1672x625,33762350,42799237,8
BR127,Daniellestad Branch,980 Francis Pine Apt. 894,Durhamville,NH,10159,Southeast,ATM Only,2022-12-04,James Cooper,650-894-2681x852,48740415,48855376,22
BR128,Lake Loretta Branch,173 Clark Lane Suite 359,Christianburgh,AZ,11340,Midwest,ATM Only,2014-01-01,Robert Oconnor,9073639852,92360114,35679177,25
BR129,North Austinland Branch,6808 Jacobs Estates Apt. 268,Youngborough,NM,44165,Southeast,Limited Service,2013-06-28,Cory Russell,+1-875-299-4292,98022354,32257900,5
BR130,New Tracy Branch,913 Brown Islands Apt. 666,New Mark,MD,85672,Northeast,Limited Service,2008-02-29,Jennifer Hughes,907-356-4780x055,26880203,5934126,3
BR131,North Deborahhaven Branch,3620 Eric Throughway,East Stacy,KY,99119,West,Limited Service,2008-04-30,Christopher Chavez,253-381-7947x28341,94480624,46982229,15
BR132,Garciafurt Branch,719 Andrea Ville,New Michael,VI,06551,Midwest,ATM Only,2024-07-14,Bradley Gonzales,(309)218-2982,65491886,45934060,13
BR133,South Nancy Branch,956 Suarez Creek Suite 462,Adrianport,MS,03726,Midwest,ATM Only,2006-11-24,Lawrence Fisher,684-726-3040x85152,11041865,38562963,16
BR134,West Rachelview Branch,2986 Michele Estates Apt. 415,South Jamesburgh,WA,60835,Southwest,Full Service,2011-03-13,Kelly Gutierrez MD,850.766.1190,46666793,32587592,5
BR135,Nathanielborough Branch,207 Jodi Village Suite 430,West Teresatown,CT,02801,Northeast,Full Service,2020-07-08,Stephen Wagner,355-408-2927x82985,51914550,36151498,14
BR136,South Joshuafurt Branch,3934 Dakota Knolls Suite 307,South Andrewside,FL,51629,West,ATM Only,2016-11-16,Natalie Barrera,001-540-250-8536x13264,38203387,6549291,10
BR137,West Walter Branch,914 Alexandria Hills Apt. 168,South Jerry,FL,96518,Midwest,ATM Only,2013-03-26,Misty Quinn,3942416164,10482025,8438915,20
BR138,East Danielhaven Branch,5550 Travis Mountain Apt. 376,Robertsstad,AR,61242,West,Full Service,2013-08-27,Stephen Hernandez,896.240.7226x4726,66547359,35432448,23
BR139,Port Jacob Branch,4010 Weeks Isle,Rossmouth,CT,41571,Southwest,Limited Service,2022-07-17,Nicole Smith,(686)917-3228x0690,20085788,45916437,5
BR140,East Jonathan Branch,2859 Gina Viaduct Suite 873,East John,NJ,37288,Southwest,Full Service,2012-02-26,Kathy White,814-621-8449x839,78336810,48870229,25
BR141,New Michaelville Branch,15494 Hawkins Falls Apt. 328,Port Danielview,MA,02473,Southeast,Full Service,2011-04-05,Tiffany Johnson,+1-996-704-6842,70583622,34891825,17
BR142,North Tracy Branch,3279 Cook Manors Suite 126,Simshaven,FM,44486,Southwest,ATM Only,2022-08-20,Haley Chandler,(256)900-1519x6674,19401855,19245418,5
BR143,Castromouth Branch,9588 Norris Village Apt. 216,Smithhaven,IA,73514,Northeast,ATM Only,2022-06-06,Kenneth Goodwin,+1-998-326-3123x4565,86296598,6830910,9
BR144,Lake Samanthabury Branch,5110 Rachel Park,Evanshaven,SC,11338,Midwest,Full Service,2008-07-31,Gary Schultz,+1-523-588-2675x169,47282075,26012069,25
BR145,North Stephanie Branch,93608 Key Mall Apt. 375,Port John,CA,50024,Southeast,ATM Only,2019-01-10,Nancy Martin,001-803-749-3570,72272614,22790782,11
BR146,Paigeview Branch,1878 Albert Union Suite 922,Stokesfort,HI,66644,West,ATM Only,2010-03-15,Bradley Joseph,001-517-797-9437x2191,94149799,18642379,8
BR147,South Rebekah Branch,4172 Johnson Views Suite 678,Velazquezmouth,MD,50485,Southwest,ATM Only,2018-12-08,David Buck,533.569.8528x587,88657405,44980796,20
BR148,North Anthonyland Branch,347 Ayala Turnpike,Lake Michele,AS,04375,West,Full Service,2021-02-01,Corey Obrien,220-998-0047,30018233,42256084,16
BR149,Murphyburgh Branch,1206 Kim Valleys,Jacobport,MP,00850,West,Full Service,2011-02-27,Dwayne Sims,477-314-3802x955,14130074,14756504,20
BR150,Kevinville Branch,5081 Aaron Burgs,North Sarahfurt,VI,16881,Southeast,ATM Only,2009-09-25,David Huffman,001-595-862-4495x1252,41602514,23250253,20
BR151,Taylorberg Branch,054 Davenport Landing,New Tonyborough,AK,89898,West,ATM Only,2010-01-10,Jose Hernandez,5415615493,94099250,15135662,16
BR152,Shelbyview Branch,68916 Ward Crossroad,Lake Tara,MN,92324,Midwest,Full Service,2019-06-01,Laura Shepherd,365-676-0399x8051,95718380,45173624,5
BR153,New Kerry Branch,5049 Brittany Ranch,North Johnside,MS,91263,Southeast,Full Service,2019-08-17,Rebecca Barker,892.884.9512x736,69685991,31356712,7
BR154,East Adrian Branch,1247 Sara Ranch Apt. 733,Currybury,MA,31336,Southwest,Full Service,2010-11-04,Bethany Harvey,+1-976-243-0976,76135631,31784338,25
BR155,Williamfurt Branch,9393 Natalie Mission Suite 172,Port Alyssaview,OR,10573,West,ATM Only,2010-11-22,Jason Gillespie,001-772-491-4241x370,84550229,25280874,7
BR156,Grahamtown Branch,55515 Simmons Highway Suite 329,Christinabury,PA,55893,Northeast,Full Service,2007-06-29,Nicole Jackson,392.684.6971x290,31420757,42080816,23
BR157,Johnfurt Branch,50360 Kevin Corners Apt. 419,Osbornemouth,TX,08149,Northeast,Limited Service,2011-04-13,Michael Mendoza,001-916-389-7057x2999,86867646,26830597,3
BR158,Christensenstad Branch,144 Cross Streets Suite 985,Sarahland,MT,22174,Southwest,Limited Service,2012-07-03,Sarah Smith MD,+1-534-455-8318x30523,24600694,38568372,15
BR159,New Mary Branch,54290 Miller Extensions Suite 636,Blakeshire,PA,00613,Southeast,ATM Only,2012-08-02,Matthew Wheeler,(906)261-0519x3933,88340146,38519341,18
BR160,Matthewburgh Branch,4422 Roberts Curve Apt. 936,Perkinsland,WY,73158,Midwest,Full Service,2009-08-25,Tyrone Ferguson,802.257.1549x7904,78978318,32838538,13
BR161,South Grant Branch,0304 Porter Dale Apt. 014,West Julieport,TX,72359,Southeast,Full Service,2011-07-20,David Wise,001-699-480-2187x3775,45624053,24538680,6
BR162,East Tylerhaven Branch,2119 James Bridge Apt. 199,Ericstad,MA,04935,Southeast,Limited Service,2021-08-23,Sharon Berg,001-440-327-7616x32035,33614497,5237642,21
