loan_id,customer_id,loan_type,original_amount,current_balance,interest_rate,term_months,monthly_payment,origination_date,maturity_date,loan_status,payment_history_score,collateral_value,ltv_ratio,purpose,branch_id
LOAN00060101,CUST000601,Credit Line,44602,23334.17683299823,0.137,36,1517.9,2024-02-06,2027-01-21,Active,89.8,,,Refinance,BR016
LOAN00209301,CUST002093,Student,60003,57029.65838027022,0.052,240,402.65,2024-01-04,2043-09-21,Active,87.4,,,Investment,BR012
LOAN00209302,CUST002093,Business,291968,253212.88683174647,0.087,180,2909.46,2022-03-10,2036-12-21,Active,87.4,,,Investment,BR012
LOAN00209303,CUST002093,Personal,29546,19015.02778538533,0.127,48,788.25,2024-01-06,2027-12-16,Active,87.4,,,Consolidation,BR012
LOAN00226401,CUST002264,Business,444240,399588.08192645694,0.341,60,15511.16,2024-07-12,2029-06-16,Active,57.5,,,Purchase,BR014
LOAN00393901,CUST003939,Credit Line,13431,8697.596943723205,0.303,60,437.02,2023-01-01,2027-12-06,Active,70.2,,,Investment,BR001
LOAN00158801,CUST001588,Mortgage,83762,82165.6210943102,0.191,180,1415.73,2024-03-14,2038-12-26,Active,69.9,100514.4,0.8,Purchase,BR057
LOAN00233901,CUST002339,Credit Line,37471,19011.062331856167,0.249,36,1487.86,2023-11-20,2026-11-04,Active,76.6,,,Investment,BR028
LOAN00094601,CUST000946,Auto,37963,23613.812007254506,0.316,60,1265.8,2022-11-01,2027-10-06,Active,57.5,45555.6,0.8,Refinance,BR063
LOAN00276901,CUST002769,Auto,69054,3805.9668964931816,0.233,60,1958.59,2020-11-26,2025-10-31,Active,67.3,82864.8,0.8,Refinance,BR004
LOAN00276902,CUST002769,Mortgage,210465,208988.57834407347,0.213,300,3754.91,2021-08-23,2046-04-14,Active,67.3,252558.0,0.8,Refinance,BR004
LOAN00336301,CUST003363,Student,90862,90426.06280020392,0.415,180,3149.24,2022-11-05,2037-08-18,Active,44.7,,,Investment,BR075
LOAN00336302,CUST003363,Credit Line,13454,0.0,0.52,36,744.73,2022-04-08,2025-03-23,Paid Off,44.7,,,Investment,BR075
LOAN00336303,CUST003363,Business,261750,259653.94015625177,0.45,180,9828.65,2021-04-01,2036-01-13,Late,44.7,,,Investment,BR075
LOAN00135301,CUST001353,Mortgage,148284,132401.4945641086,0.054,240,1011.67,2022-02-21,2041-11-08,Active,86.0,177940.8,0.8,Consolidation,BR099
LOAN00135302,CUST001353,Mortgage,140699,122633.36137087857,0.054,180,1142.18,2022-12-13,2037-09-25,Active,86.0,168838.8,0.8,Refinance,BR099
LOAN00135303,CUST001353,Student,42029,27036.8426034767,0.064,120,475.1,2021-05-14,2031-03-23,Active,86.0,,,Refinance,BR099
LOAN00116501,CUST001165,Auto,79883,50486.87612046007,0.01,72,1143.57,2023-05-22,2029-04-20,Active,94.5,95859.59999999999,0.8,Purchase,BR091
LOAN00419101,CUST004191,Business,403974,191141.1414683537,0.121,60,9006.61,2022-09-16,2027-08-21,Active,83.4,,,Purchase,BR006
LOAN00147501,CUST001475,Mortgage,392163,391566.6302632987,0.253,300,8283.95,2023-05-13,2048-01-02,Active,62.6,470595.6,0.8,Consolidation,BR031
LOAN00442401,CUST004424,Credit Line,39581,0.0,0.109,24,1842.95,2022-02-19,2024-02-09,Paid Off,93.1,,,Consolidation,BR063
LOAN00114501,CUST001145,Business,280950,197078.27737315095,0.206,60,7537.56,2023-08-10,2028-07-14,Active,73.4,,,Refinance,BR001
LOAN00114502,CUST001145,Auto,66016,14039.733787955616,0.181,60,1679.97,2021-06-08,2026-05-13,Active,73.4,79219.2,0.8,Purchase,BR001
LOAN00356201,CUST003562,Student,97022,77617.6,0.259,120,2269.04,2021-01-24,2030-12-03,Default,63.1,,,Consolidation,BR012
LOAN00173501,CUST001735,Mortgage,175477,152655.48491273675,0.016,180,1097.18,2023-06-30,2038-04-12,Active,90.5,210572.4,0.8,Refinance,BR015
LOAN00322601,CUST003226,Student,99648,88671.94365479515,0.294,120,2582.85,2022-01-06,2031-11-15,Active,58.9,,,Purchase,BR028
LOAN00322602,CUST003226,Credit Line,27548,22038.4,0.399,48,1156.58,2021-12-09,2025-11-18,Default,58.9,,,Purchase,BR028
LOAN00322603,CUST003226,Personal,21229,16983.2,0.369,48,851.86,2023-01-13,2026-12-23,Default,58.9,,,Purchase,BR028
LOAN00339201,CUST003392,Business,444444,355555.2,0.301,180,11278.64,2024-02-18,2038-12-01,Default,62.2,,,Refinance,BR017
LOAN00200901,CUST002009,Auto,29647,0.0,0.057,48,692.19,2020-09-10,2024-08-20,Paid Off,88.0,35576.4,0.8,Purchase,BR017
LOAN00200902,CUST002009,Business,468523,55924.08790238608,0.082,60,9544.87,2021-02-26,2026-01-31,Active,88.0,,,Purchase,BR017
LOAN00200903,CUST002009,Mortgage,106792,103919.8902233483,0.037,300,546.15,2024-07-26,2049-03-17,Active,88.0,128150.4,0.8,Refinance,BR017
LOAN00085001,CUST000850,Student,73045,72461.05612931082,0.225,240,1385.64,2023-05-13,2043-01-28,Late,67.1,,,Consolidation,BR004
LOAN00191501,CUST001915,Mortgage,289985,289507.91468283365,0.406,240,9814.5,2021-04-24,2041-01-09,Late,44.6,347982.0,0.8,Consolidation,BR030
LOAN00191502,CUST001915,Personal,40514,0.0,0.491,36,2169.94,2022-02-03,2025-01-18,Paid Off,44.6,,,Refinance,BR030
LOAN00281801,CUST002818,Business,294680,221754.0339477124,0.125,120,4313.41,2021-11-14,2031-09-23,Active,82.9,,,Consolidation,BR104
LOAN00310701,CUST003107,Student,27922,22337.600000000002,0.339,180,794.07,2021-10-27,2036-08-09,Default,53.6,,,Purchase,BR091
LOAN00310702,CUST003107,Mortgage,76441,75587.76173649219,0.329,180,2111.99,2022-11-22,2037-09-04,Late,53.6,91729.2,0.8,Consolidation,BR091
LOAN00310703,CUST003107,Student,77447,61957.600000000006,0.339,180,2202.5,2024-08-14,2039-05-28,Default,53.6,,,Refinance,BR091
LOAN00243201,CUST002432,Auto,46945,39803.288652853356,0.308,72,1436.6,2023-10-02,2029-08-31,Active,58.5,56334.0,0.8,Refinance,BR007
LOAN00065901,CUST000659,Personal,22010,2535.371264661765,0.191,48,659.26,2021-12-28,2025-12-07,Active,79.9,,,Investment,BR066
LOAN00066801,CUST000668,Credit Line,17582,987.1444842379211,0.05,60,331.79,2020-12-12,2025-11-16,Active,100.0,,,Refinance,BR020
LOAN00066802,CUST000668,Business,231422,163205.760222125,0.01,60,3955.87,2024-02-14,2029-01-18,Active,100.0,,,Refinance,BR020
LOAN00108001,CUST001080,Mortgage,785083,728272.4526639145,0.01,360,2525.14,2023-02-26,2052-09-21,Active,91.4,942099.6,0.8,Purchase,BR001
LOAN00210501,CUST002105,Credit Line,34626,1466.898615014058,0.429,48,1519.34,2021-09-28,2025-09-07,Active,55.4,,,Refinance,BR047
LOAN00051801,CUST000518,Personal,38140,0.0,0.367,24,2266.24,2022-05-30,2024-05-19,Paid Off,59.2,,,Purchase,BR017
LOAN00245301,CUST002453,Business,158953,144001.09672360457,0.191,120,2977.61,2023-06-05,2033-04-13,Active,75.2,,,Refinance,BR006
LOAN00103701,CUST001037,Credit Line,29861,0.0,0.434,24,1882.39,2023-08-20,2025-08-09,Paid Off,54.8,,,Purchase,BR001
LOAN00253601,CUST002536,Personal,12405,0.0,0.265,24,671.45,2021-10-03,2023-09-23,Paid Off,71.2,,,Investment,BR016
LOAN00414101,CUST004141,Mortgage,216902,201855.83207747166,0.043,180,1637.2,2024-04-04,2039-01-16,Active,87.3,260282.4,0.8,Consolidation,BR091
LOAN00315901,CUST003159,Student,45151,34972.13977051457,0.01,180,270.23,2022-02-18,2036-12-01,Active,99.9,,,Investment,BR096
LOAN00315902,CUST003159,Credit Line,16593,0.0,0.051,48,382.88,2021-06-09,2025-05-19,Paid Off,99.9,,,Consolidation,BR096
LOAN00191601,CUST001916,Business,166070,162458.12962607775,0.262,180,3701.72,2022-11-30,2037-09-12,Active,66.8,,,Consolidation,BR039
LOAN00191602,CUST001916,Mortgage,46793,45803.393237173,0.217,240,857.8,2021-05-18,2041-02-02,Active,66.8,56151.6,0.8,Consolidation,BR039
LOAN00029601,CUST000296,Personal,10229,0.0,0.324,48,382.72,2021-07-15,2025-06-24,Paid Off,64.2,,,Consolidation,BR022
LOAN00293501,CUST002935,Mortgage,398311,334981.62370202463,0.01,300,1501.12,2021-04-07,2045-11-27,Active,91.9,477973.19999999995,0.8,Consolidation,BR091
LOAN00251301,CUST002513,Auto,53777,0.0,0.073,36,1667.86,2022-09-03,2025-08-18,Paid Off,86.1,64532.399999999994,0.8,Refinance,BR005
LOAN00225001,CUST002250,Student,17595,9894.490120404911,0.01,120,154.14,2021-03-02,2031-01-09,Active,92.7,,,Purchase,BR108
LOAN00225002,CUST002250,Personal,48441,0.0,0.082,36,1522.44,2021-09-23,2024-09-07,Paid Off,92.7,,,Purchase,BR108
LOAN00088901,CUST000889,Student,77739,65026.164847838954,0.057,180,643.47,2022-03-05,2036-12-16,Active,86.8,,,Refinance,BR014
LOAN00163801,CUST001638,Mortgage,206732,201216.53912499087,0.072,300,1487.62,2023-11-19,2048-07-10,Active,83.9,248078.4,0.8,Purchase,BR061
LOAN00163802,CUST001638,Credit Line,23258,6943.22994204655,0.187,48,691.74,2022-07-20,2026-06-29,Active,83.9,,,Purchase,BR061
LOAN00163803,CUST001638,Auto,78258,24990.236896395705,0.092,72,1418.42,2021-03-31,2027-02-28,Active,83.9,93909.59999999999,0.8,Consolidation,BR061
LOAN00149501,CUST001495,Auto,70912,9019.828070021122,0.01,48,1507.69,2022-02-26,2026-02-05,Active,100.0,85094.4,0.8,Investment,BR021
LOAN00149502,CUST001495,Business,131399,103877.65814836908,0.01,180,786.42,2022-05-16,2037-02-26,Active,100.0,,,Purchase,BR021
LOAN00019501,CUST000195,Personal,40047,27157.56298349042,0.195,36,1478.11,2024-06-15,2027-05-31,Active,79.4,,,Purchase,BR020
LOAN00019502,CUST000195,Auto,66580,48217.279267939804,0.13,72,1336.53,2023-06-27,2029-05-26,Active,79.4,79896.0,0.8,Purchase,BR020
LOAN00143301,CUST001433,Student,54388,31434.978909930658,0.016,120,490.76,2021-04-01,2031-02-08,Active,91.6,,,Investment,BR053
LOAN00396801,CUST003968,Auto,64839,0.0,0.439,36,3268.67,2021-01-14,2023-12-30,Paid Off,43.1,77806.8,0.8,Refinance,BR117
LOAN00396802,CUST003968,Student,37117,36794.94057747296,0.429,120,1346.83,2024-07-10,2034-05-19,Active,43.1,,,Consolidation,BR117
LOAN00166201,CUST001662,Credit Line,42197,18488.36198094585,0.268,24,2290.41,2024-06-05,2026-05-26,Active,74.4,,,Investment,BR001
LOAN00166202,CUST001662,Auto,19499,10513.573508694197,0.173,60,487.75,2022-10-30,2027-10-04,Active,74.4,23398.8,0.8,Consolidation,BR001
LOAN00213701,CUST002137,Business,295368,211500.91700562366,0.165,120,5040.23,2020-12-04,2030-10-13,Active,78.2,,,Investment,BR034
LOAN00463901,CUST004639,Credit Line,47319,0.0,0.553,36,2717.35,2021-03-20,2024-03-04,Paid Off,40.8,,,Purchase,BR068
LOAN00097101,CUST000971,Auto,32611,0.0,0.136,36,1108.24,2021-04-21,2024-04-05,Paid Off,78.7,39133.2,0.8,Refinance,BR078
LOAN00488401,CUST004884,Business,464941,248360.82376837992,0.109,60,10085.77,2023-01-13,2027-12-18,Active,84.8,,,Investment,BR096
LOAN00024901,CUST000249,Mortgage,149452,133877.96751501854,0.01,300,563.24,2022-09-28,2047-05-20,Active,100.0,179342.4,0.8,Consolidation,BR011
LOAN00304801,CUST003048,Mortgage,313516,311900.7013483672,0.186,300,4908.13,2023-06-08,2048-01-28,Active,70.5,376219.2,0.8,Investment,BR012
LOAN00304802,CUST003048,Mortgage,227001,218420.54370606085,0.186,240,3608.49,2020-09-30,2040-06-17,Active,70.5,272401.2,0.8,Consolidation,BR012
LOAN00159101,CUST001591,Student,86856,69484.8,0.306,120,2328.26,2021-07-24,2031-06-02,Default,57.5,,,Purchase,BR018
LOAN00159102,CUST001591,Student,75983,74658.4822238175,0.306,180,1958.63,2022-07-19,2037-05-01,Active,57.5,,,Consolidation,BR018
LOAN00159103,CUST001591,Business,268181,198812.13513839137,0.341,60,9363.85,2023-06-05,2028-05-09,Active,57.5,,,Consolidation,BR018
LOAN00425001,CUST004250,Auto,30373,19227.73718839212,0.164,72,665.55,2022-10-02,2028-08-31,Active,75.4,36447.6,0.8,Investment,BR043
LOAN00425002,CUST004250,Mortgage,159617,159184.31217564482,0.144,360,1941.9,2024-06-03,2053-12-28,Active,75.4,191540.4,0.8,Consolidation,BR043
LOAN00393101,CUST003931,Mortgage,92019,86530.44915017442,0.035,360,413.21,2022-08-28,2052-03-23,Active,88.2,110422.8,0.8,Consolidation,BR091
LOAN00349201,CUST003492,Student,23329,19081.606957262164,0.178,120,417.35,2022-01-27,2031-12-06,Active,72.6,,,Investment,BR066
LOAN00349202,CUST003492,Business,172469,158687.77827154772,0.213,120,3483.05,2023-06-19,2033-04-27,Active,72.6,,,Purchase,BR066
LOAN00242301,CUST002423,Credit Line,26718,6054.89042301326,0.285,60,839.96,2021-05-05,2026-04-09,Active,72.4,,,Refinance,BR039
LOAN00210801,CUST002108,Auto,27720,2571.7924475458653,0.06,48,651.01,2022-01-13,2025-12-23,Active,87.6,33264.0,0.8,Investment,BR015
LOAN00210802,CUST002108,Auto,50211,5723.734129003676,0.06,60,970.72,2021-03-26,2026-02-28,Active,87.6,60253.2,0.8,Purchase,BR015
LOAN00367501,CUST003675,Mortgage,136782,128755.9703937481,0.145,180,1867.76,2023-01-28,2037-11-10,Active,75.3,164138.4,0.8,Investment,BR002
LOAN00406101,CUST004061,Auto,27395,19333.63926950467,0.043,48,622.24,2024-05-12,2028-04-21,Active,89.6,32874.0,0.8,Investment,BR038
LOAN00406102,CUST004061,Student,28515,24208.853355852938,0.033,240,162.46,2021-08-28,2041-05-15,Active,89.6,,,Refinance,BR038
LOAN00406103,CUST004061,Auto,44365,14139.776916642402,0.043,72,700.18,2021-06-14,2027-05-14,Active,89.6,53238.0,0.8,Consolidation,BR038
LOAN00138201,CUST001382,Credit Line,26987,10947.33106291738,0.324,48,1009.72,2022-10-07,2026-09-16,Active,67.8,,,Purchase,BR014
LOAN00186201,CUST001862,Mortgage,92352,83205.16158773977,0.014,240,441.41,2023-05-21,2043-02-05,Active,90.7,110822.4,0.8,Purchase,BR034
LOAN00032401,CUST000324,Credit Line,35789,0.0,0.05,36,1072.63,2022-04-10,2025-03-25,Paid Off,100.0,,,Refinance,BR028
LOAN00032402,CUST000324,Credit Line,31700,0.0,0.05,24,1390.72,2023-05-25,2025-05-14,Paid Off,100.0,,,Consolidation,BR028
LOAN00473401,CUST004734,Auto,54664,17185.661647295743,0.084,72,969.15,2021-04-10,2027-03-10,Active,84.8,65596.8,0.8,Consolidation,BR002
LOAN00123201,CUST001232,Credit Line,28083,0.0,0.456,36,1444.35,2021-09-22,2024-09-06,Paid Off,52.2,,,Investment,BR021
LOAN00233501,CUST002335,Personal,41488,28961.324027081257,0.087,60,855.19,2023-11-26,2028-10-30,Active,92.1,,,Refinance,BR007
LOAN00088501,CUST000885,Business,447421,405863.5042952155,0.078,120,5381.28,2024-04-17,2034-02-24,Active,88.5,,,Consolidation,BR003
LOAN00088502,CUST000885,Credit Line,11212,0.0,0.148,24,542.57,2021-01-19,2023-01-09,Paid Off,88.5,,,Purchase,BR003
LOAN00475001,CUST004750,Business,384176,377834.0155599118,0.166,180,5803.92,2024-08-14,2039-05-28,Active,78.1,,,Investment,BR026
LOAN00380101,CUST003801,Business,387498,309998.4,0.389,60,14734.23,2022-11-05,2027-10-10,Default,51.9,,,Investment,BR005
LOAN00061301,CUST000613,Student,54366,39007.879519309216,0.104,120,730.55,2021-09-05,2031-07-15,Active,81.3,,,Purchase,BR012
LOAN00294601,CUST002946,Personal,7011,4162.541704848473,0.393,60,268.44,2022-06-27,2027-06-01,Active,56.1,,,Investment,BR103
LOAN00486701,CUST004867,Mortgage,426081,403616.39830826415,0.107,300,4083.99,2020-09-14,2045-05-06,Active,79.8,511297.19999999995,0.8,Purchase,BR026
LOAN00324201,CUST003242,Business,298517,190789.17049428646,0.01,60,5102.77,2023-11-06,2028-10-10,Active,100.0,,,Consolidation,BR061
LOAN00324202,CUST003242,Business,161406,142952.02003773136,0.01,180,966.01,2023-10-23,2038-08-05,Active,100.0,,,Purchase,BR061
LOAN00059201,CUST000592,Business,491217,465705.78393871384,0.252,180,10566.34,2021-02-12,2035-11-26,Active,68.0,,,Consolidation,BR042
LOAN00172701,CUST001727,Credit Line,25203,0.0,0.331,36,1113.15,2022-08-27,2025-08-11,Paid Off,66.9,,,Refinance,BR030
LOAN00197901,CUST001979,Auto,68504,0.0,0.271,36,2800.37,2022-01-16,2024-12-31,Paid Off,62.8,82204.8,0.8,Consolidation,BR087
LOAN00197902,CUST001979,Personal,9321,7456.8,0.336,48,355.41,2023-11-14,2027-10-24,Default,62.8,,,Refinance,BR087
LOAN00197903,CUST001979,Credit Line,26153,0.0,0.366,36,1206.86,2021-08-05,2024-07-20,Paid Off,62.8,,,Consolidation,BR087
LOAN00102601,CUST001026,Personal,31397,0.0,0.155,24,1529.8,2020-09-16,2022-09-06,Paid Off,84.1,,,Consolidation,BR002
LOAN00231001,CUST002310,Personal,21689,5120.424267957127,0.087,60,447.08,2021-09-18,2026-08-23,Active,92.1,,,Refinance,BR057
LOAN00146601,CUST001466,Student,22274,20435.76341858687,0.057,240,155.75,2022-10-21,2042-07-08,Active,86.8,,,Consolidation,BR007
LOAN00029801,CUST000298,Business,329262,270779.1217615134,0.134,60,7559.32,2024-06-18,2029-05-23,Active,81.9,,,Investment,BR002
LOAN00029802,CUST000298,Personal,39642,0.0,0.174,36,1421.25,2021-09-22,2024-09-06,Paid Off,81.9,,,Investment,BR002
LOAN00363701,CUST003637,Personal,9179,8082.078162616282,0.271,60,280.83,2024-07-28,2029-07-02,Active,70.5,,,Refinance,BR053
LOAN00363702,CUST003637,Business,154606,146874.20789695668,0.231,180,3075.57,2021-09-16,2036-06-29,Active,70.5,,,Investment,BR053
LOAN00260201,CUST002602,Mortgage,295573,286037.98997473257,0.043,240,1838.18,2024-08-09,2044-04-26,Active,87.3,354687.6,0.8,Refinance,BR087
LOAN00047801,CUST000478,Credit Line,47459,0.0,0.204,24,2424.75,2022-01-15,2024-01-05,Paid Off,81.9,,,Investment,BR108
LOAN00371001,CUST003710,Student,81078,73215.94175285302,0.14,180,1079.75,2021-12-10,2036-09-22,Active,77.1,,,Consolidation,BR026
LOAN00371501,CUST003715,Credit Line,48456,0.0,0.099,36,1561.26,2021-05-06,2024-04-20,Paid Off,94.2,,,Refinance,BR028
LOAN00371502,CUST003715,Credit Line,38746,21276.893700073855,0.099,48,980.84,2023-08-18,2027-07-28,Active,94.2,,,Refinance,BR028
LOAN00379301,CUST003793,Student,66032,61870.307892599834,0.107,180,738.13,2023-07-15,2038-04-27,Active,80.9,,,Consolidation,BR001
LOAN00379302,CUST003793,Personal,27396,10821.897467495968,0.182,36,993.18,2023-09-06,2026-08-21,Active,80.9,,,Purchase,BR001
LOAN00379303,CUST003793,Personal,15152,6983.46469832059,0.182,24,757.92,2024-06-19,2026-06-09,Active,80.9,,,Refinance,BR001
LOAN00356701,CUST003567,Auto,79954,63182.30493422161,0.121,72,1567.28,2023-12-22,2029-11-20,Active,80.5,95944.8,0.8,Consolidation,BR018
