account_id,customer_id,account_type,balance,credit_limit,interest_rate,account_status,open_date,last_activity_date,branch_id
ACC00000901,CUST000009,Money Market,70234,,0.0272,Active,2021-09-09,2025-05-06,BR021
ACC00001001,CUST000010,Credit Card,-335,28920.0,0.1581,Active,2025-01-05,2025-07-18,BR013
ACC00001002,CUST000010,Checking,12076,,0.0,Active,2025-01-01,2025-08-31,BR013
ACC00001101,CUST000011,Savings,24823,,0.033,Active,2019-01-22,2024-10-30,BR077
ACC00001102,CUST000011,CD,23896,,0.0225,Active,2019-01-12,2025-07-16,BR077
ACC00001201,CUST000012,Credit Card,-1454,33945.0,0.2211,Active,2019-04-06,2025-05-20,BR001
ACC00001202,CUST000012,Checking,4712,,0.0,Active,2019-04-12,2025-02-23,BR001
ACC00001203,CUST000012,Checking,447,,0.0,Active,2019-04-09,2025-08-01,BR001
ACC00001301,CUST000013,Money Market,1104,,0.0226,Active,2022-04-27,2024-09-09,BR001
ACC00001302,CUST000013,Savings,1860,,0.0187,Active,2022-04-12,2025-03-02,BR001
ACC00001401,CUST000014,Credit Card,-23417,47866.0,0.2162,Inactive,2022-10-03,2025-04-18,BR013
ACC00001402,CUST000014,Checking,39284,,0.0,Active,2022-10-19,2025-07-09,BR013
ACC00001501,CUST000015,Money Market,215493,,0.04,Active,2021-10-19,2025-01-23,BR063
ACC00001502,CUST000015,Checking,137739,,0.0,Active,2021-10-13,2025-01-16,BR063
ACC00001503,CUST000015,Money Market,461778,,0.0442,Active,2021-10-01,2025-01-19,BR063
ACC00001601,CUST000016,Credit Card,-108,3042.0,0.1569,Active,2020-04-17,2024-09-13,BR061
ACC00001602,CUST000016,Money Market,12593,,0.0442,Active,2020-03-24,2025-05-08,BR061
ACC00001701,CUST000017,Credit Card,-1866,25561.0,0.2059,Active,2019-01-21,2025-08-13,BR021
ACC00001702,CUST000017,Checking,20586,,0.0,Active,2019-01-18,2025-07-21,BR021
ACC00001801,CUST000018,Credit Card,-2369,8597.0,0.169,Active,2024-02-08,2024-11-26,BR103
ACC00001901,CUST000019,Money Market,14742,,0.0451,Active,2017-12-08,2025-04-04,BR136
ACC00001902,CUST000019,Checking,85443,,0.0,Active,2017-12-01,2025-06-13,BR136
ACC00001903,CUST000019,Credit Card,-18887,27986.0,0.2032,Active,2017-11-30,2024-12-02,BR136
ACC00002001,CUST000020,Credit Card,-1628,44271.0,0.1992,Active,2015-12-18,2025-02-27,BR038
ACC00002101,CUST000021,Checking,18572,,0.0,Active,2021-10-28,2025-07-11,BR030
ACC00002102,CUST000021,Money Market,20998,,0.0479,Active,2021-11-16,2025-01-28,BR030
ACC00002103,CUST000021,Savings,24171,,0.0165,Active,2021-11-23,2025-03-14,BR030
ACC00002201,CUST000022,Credit Card,-35,33138.0,0.2418,Active,2020-11-22,2024-11-27,BR022
ACC00002202,CUST000022,Checking,3561,,0.0,Closed,2020-11-02,2024-09-16,BR022
ACC00002301,CUST000023,Savings,20365,,0.0188,Active,2022-12-13,2024-10-18,BR001
ACC00002302,CUST000023,Savings,3432,,0.0405,Closed,2022-11-25,2025-06-24,BR001
ACC00002303,CUST000023,Credit Card,-1336,9832.0,0.1542,Active,2022-12-14,2024-11-08,BR001
ACC00002401,CUST000024,Money Market,438,,0.0366,Active,2022-09-21,2025-02-11,BR022
ACC00002402,CUST000024,Savings,4015,,0.0449,Active,2022-08-24,2025-05-08,BR022
ACC00002403,CUST000024,CD,4163,,0.0245,Active,2022-09-08,2025-01-01,BR022
ACC00002501,CUST000025,Money Market,13627,,0.0162,Active,2025-08-23,2024-11-13,BR047
ACC00002601,CUST000026,Money Market,18724,,0.0103,Frozen,2019-10-14,2024-12-11,BR050
ACC00002701,CUST000027,Checking,3237,,0.0,Active,2020-08-30,2024-10-20,BR096
ACC00002801,CUST000028,Savings,3495,,0.0416,Active,2024-04-22,2024-12-01,BR001
ACC00002802,CUST000028,Savings,368,,0.036,Active,2024-04-28,2025-06-04,BR001
ACC00002803,CUST000028,Checking,3281,,0.0,Active,2024-04-17,2025-01-24,BR001
ACC00002901,CUST000029,Money Market,88499,,0.0272,Active,2024-07-07,2025-03-24,BR001
ACC00003001,CUST000030,Checking,6505,,0.0,Active,2024-11-22,2025-07-06,BR026
ACC00003101,CUST000031,Checking,4641,,0.0,Active,2024-06-11,2025-04-22,BR125
ACC00003102,CUST000031,Checking,619,,0.0,Inactive,2024-06-15,2025-03-31,BR125
ACC00003201,CUST000032,Checking,4979,,0.0,Active,2016-08-17,2025-02-28,BR001
ACC00003202,CUST000032,Savings,22894,,0.0384,Active,2016-08-20,2024-12-08,BR001
ACC00003203,CUST000032,Savings,23267,,0.0346,Active,2016-08-15,2025-03-23,BR001
ACC00003301,CUST000033,Savings,1702,,0.0124,Active,2018-03-31,2025-05-26,BR013
ACC00003401,CUST000034,Money Market,20127,,0.045,Active,2021-10-12,2024-11-07,BR061
ACC00003402,CUST000034,CD,20031,,0.0388,Active,2021-09-30,2025-04-17,BR061
ACC00003403,CUST000034,Checking,15063,,0.0,Active,2021-10-21,2024-12-07,BR061
ACC00003501,CUST000035,Savings,8247,,0.0146,Active,2018-04-05,2025-08-28,BR034
ACC00003601,CUST000036,Money Market,88647,,0.0272,Active,2018-01-23,2025-04-09,BR038
ACC00003602,CUST000036,Credit Card,-3455,2321.0,0.2381,Active,2018-01-24,2024-12-24,BR038
ACC00003701,CUST000037,CD,21750,,0.0143,Active,2022-09-12,2025-02-16,BR001
ACC00003702,CUST000037,CD,18942,,0.0119,Inactive,2022-08-28,2025-03-31,BR001
ACC00003703,CUST000037,Money Market,2010,,0.0238,Active,2022-08-21,2025-07-13,BR001
ACC00003801,CUST000038,Checking,5619,,0.0,Active,2016-08-24,2025-03-19,BR087
ACC00003802,CUST000038,Checking,8115,,0.0,Active,2016-08-25,2024-10-04,BR087
ACC00003803,CUST000038,CD,1192,,0.0308,Active,2016-08-12,2025-07-24,BR087
ACC00003901,CUST000039,Money Market,945,,0.0477,Active,2021-01-01,2025-08-13,BR055
ACC00003902,CUST000039,Credit Card,-32,17718.0,0.2247,Active,2020-12-29,2025-08-13,BR055
ACC00004001,CUST000040,CD,2392,,0.0451,Active,2021-07-31,2025-04-11,BR020
ACC00004002,CUST000040,Checking,23668,,0.0,Active,2021-07-28,2025-07-06,BR020
ACC00004101,CUST000041,CD,937,,0.0203,Active,2019-01-12,2024-10-16,BR022
ACC00004102,CUST000041,Credit Card,-279,28843.0,0.2064,Active,2018-12-26,2025-05-12,BR022
ACC00004103,CUST000041,Money Market,4736,,0.045,Active,2018-12-18,2025-08-30,BR022
ACC00004201,CUST000042,CD,1378,,0.0336,Inactive,2021-06-23,2025-08-16,BR080
ACC00004301,CUST000043,Money Market,4208,,0.0114,Active,2023-07-04,2025-04-13,BR103
ACC00004401,CUST000044,Savings,69864,,0.0205,Active,2019-08-26,2024-12-11,BR077
ACC00004402,CUST000044,CD,87872,,0.0323,Active,2019-09-04,2025-01-08,BR077
ACC00004403,CUST000044,Credit Card,-17903,23831.0,0.2071,Active,2019-08-15,2025-07-03,BR077
ACC00004501,CUST000045,CD,2212,,0.0157,Closed,2021-06-12,2025-03-01,BR126
ACC00004502,CUST000045,Checking,2598,,0.0,Active,2021-06-08,2025-08-17,BR126
ACC00004601,CUST000046,Credit Card,-37,41651.0,0.1859,Active,2023-05-08,2025-01-09,BR058
ACC00004602,CUST000046,CD,3631,,0.0172,Active,2023-05-06,2025-05-09,BR058
ACC00004701,CUST000047,Savings,4471,,0.0215,Active,2021-03-29,2025-05-10,BR001
ACC00004801,CUST000048,CD,20818,,0.0134,Active,2019-10-22,2024-09-06,BR001
ACC00004802,CUST000048,Money Market,7397,,0.0118,Active,2019-10-15,2024-12-01,BR001
ACC00004901,CUST000049,Money Market,17232,,0.0156,Inactive,2017-08-22,2025-08-13,BR061
ACC00004902,CUST000049,CD,5045,,0.0288,Closed,2017-08-11,2024-12-24,BR061
ACC00004903,CUST000049,CD,17998,,0.0228,Active,2017-08-31,2024-10-29,BR061
ACC00005001,CUST000050,Checking,27662,,0.0,Active,2022-07-06,2025-06-16,BR086
ACC00005101,CUST000051,CD,117883,,0.0344,Active,2023-05-03,2025-04-21,BR001
ACC00005201,CUST000052,CD,794,,0.0148,Active,2017-01-27,2024-11-01,BR063
ACC00005202,CUST000052,CD,1223,,0.0407,Closed,2017-02-01,2025-08-12,BR063
ACC00005203,CUST000052,CD,3666,,0.0103,Active,2017-01-21,2025-05-07,BR063
ACC00005301,CUST000053,Money Market,20554,,0.0309,Active,2018-02-03,2025-03-22,BR020
ACC00005302,CUST000053,CD,18969,,0.0338,Inactive,2018-02-15,2025-02-27,BR020
ACC00005401,CUST000054,CD,16830,,0.036,Inactive,2020-04-27,2025-05-30,BR034
ACC00005501,CUST000055,CD,13110,,0.0251,Active,2024-05-24,2025-08-23,BR061
ACC00005502,CUST000055,CD,17091,,0.0429,Active,2024-05-07,2025-04-20,BR061
ACC00005601,CUST000056,Checking,30727,,0.0,Active,2021-09-12,2024-11-30,BR047
ACC00005701,CUST000057,Money Market,75174,,0.0481,Inactive,2019-05-07,2025-07-20,BR021
ACC00005801,CUST000058,Checking,1308,,0.0,Active,2022-08-20,2025-03-15,BR020
ACC00005802,CUST000058,Savings,2340,,0.0172,Active,2022-08-16,2025-05-12,BR020
ACC00005901,CUST000059,Money Market,29840,,0.0237,Active,2018-02-04,2024-12-11,BR063
ACC00006001,CUST000060,CD,377,,0.01,Active,2017-04-24,2025-02-28,BR047
ACC00006101,CUST000061,Credit Card,-1229,26590.0,0.2379,Active,2025-04-09,2024-11-11,BR001
ACC00006102,CUST000061,Savings,984,,0.0245,Active,2025-04-22,2025-03-14,BR001
ACC00006201,CUST000062,Checking,12124,,0.0,Active,2023-11-13,2024-10-25,BR021
ACC00006301,CUST000063,Savings,167,,0.035,Active,2015-10-29,2024-12-13,BR001
ACC00006302,CUST000063,Savings,2807,,0.018,Closed,2015-10-02,2024-11-01,BR001
ACC00006303,CUST000063,Savings,1075,,0.0306,Active,2015-10-11,2025-08-23,BR001
ACC00006401,CUST000064,CD,58733,,0.0232,Active,2022-11-19,2025-05-29,BR077
ACC00006501,CUST000065,Credit Card,-2360,44508.0,0.1649,Active,2018-05-01,2024-09-08,BR078
ACC00006601,CUST000066,Savings,1112,,0.0103,Active,2019-10-11,2024-12-27,BR028
ACC00006602,CUST000066,Savings,4840,,0.0208,Active,2019-10-17,2025-02-23,BR028
ACC00006603,CUST000066,Savings,992,,0.0417,Active,2019-10-17,2025-06-28,BR028
ACC00006701,CUST000067,Checking,46836,,0.0,Active,2023-06-15,2025-08-06,BR001
ACC00006801,CUST000068,Checking,4509,,0.0,Active,2022-09-16,2025-03-17,BR014
ACC00006802,CUST000068,CD,4294,,0.0189,Inactive,2022-09-09,2024-10-08,BR014
ACC00006803,CUST000068,Savings,3914,,0.045,Active,2022-09-02,2024-10-31,BR014
ACC00006901,CUST000069,Credit Card,-2476,46165.0,0.2374,Active,2017-08-30,2024-11-06,BR004
ACC00007001,CUST000070,Savings,4167,,0.0471,Active,2023-08-11,2025-01-13,BR055
ACC00007002,CUST000070,Credit Card,-934,7077.0,0.1717,Active,2023-08-17,2024-10-21,BR055
ACC00007003,CUST000070,Credit Card,-8471,6295.0,0.2002,Inactive,2023-08-18,2025-02-15,BR055
ACC00007101,CUST000071,Checking,2397,,0.0,Inactive,2021-06-18,2024-11-25,BR015
ACC00007201,CUST000072,Credit Card,-1233,21364.0,0.1663,Active,2021-01-25,2024-10-08,BR061
ACC00007202,CUST000072,Money Market,16176,,0.0308,Active,2021-01-31,2025-03-29,BR061
ACC00007203,CUST000072,CD,8112,,0.0372,Active,2021-01-23,2024-12-29,BR061
ACC00007301,CUST000073,Credit Card,-7399,19496.0,0.2276,Active,2022-09-29,2025-01-30,BR031
ACC00007302,CUST000073,Money Market,5177,,0.0267,Active,2022-09-26,2024-09-27,BR031
ACC00007401,CUST000074,Money Market,4214,,0.0309,Active,2023-04-11,2025-05-19,BR034
ACC00007402,CUST000074,Savings,1700,,0.04,Active,2023-04-09,2025-05-22,BR034
ACC00007501,CUST000075,Savings,2676,,0.0224,Active,2016-03-03,2024-12-28,BR021
ACC00007601,CUST000076,Savings,5202,,0.0356,Inactive,2018-11-14,2024-10-15,BR063
ACC00007602,CUST000076,Money Market,4825,,0.0127,Active,2018-11-22,2025-06-21,BR063
ACC00007701,CUST000077,Credit Card,-9127,13226.0,0.2054,Active,2021-09-21,2024-12-08,BR009
ACC00007702,CUST000077,Checking,9176,,0.0,Active,2021-09-19,2024-09-04,BR009
ACC00007703,CUST000077,Money Market,12977,,0.0192,Active,2021-10-04,2025-03-04,BR009
ACC00007801,CUST000078,Credit Card,-2092,31915.0,0.1659,Active,2022-03-05,2024-10-29,BR001
ACC00007901,CUST000079,CD,13999,,0.0289,Active,2019-11-16,2025-02-12,BR015
ACC00007902,CUST000079,CD,24219,,0.0118,Active,2019-11-08,2024-12-14,BR015
ACC00008001,CUST000080,Credit Card,-2028,20610.0,0.1821,Active,2018-01-15,2025-05-25,BR034
ACC00008002,CUST000080,Credit Card,-161,48379.0,0.2165,Active,2017-12-25,2025-06-14,BR034
ACC00008003,CUST000080,CD,2667,,0.0183,Active,2018-01-14,2024-12-02,BR034
ACC00008101,CUST000081,Savings,3295,,0.0322,Closed,2018-02-16,2025-07-27,BR025
ACC00008201,CUST000082,Savings,4366,,0.0249,Active,2024-09-05,2025-03-17,BR040
ACC00008202,CUST000082,Savings,13980,,0.0151,Active,2024-09-02,2025-06-08,BR040
ACC00008301,CUST000083,Checking,4038,,0.0,Active,2022-07-05,2025-06-06,BR034
ACC00008302,CUST000083,Money Market,773,,0.0203,Closed,2022-07-09,2024-09-10,BR034
ACC00008401,CUST000084,Money Market,8204,,0.0102,Active,2020-01-21,2024-12-21,BR022
ACC00008402,CUST000084,Checking,1498,,0.0,Active,2020-01-20,2024-09-15,BR022
ACC00008501,CUST000085,CD,3674,,0.0211,Active,2016-07-24,2025-02-13,BR038
ACC00008601,CUST000086,Money Market,5664,,0.0336,Active,2020-09-02,2025-03-06,BR047
ACC00008602,CUST000086,Credit Card,-2505,24103.0,0.2208,Active,2020-08-15,2025-03-04,BR047
ACC00008701,CUST000087,Money Market,1777,,0.0185,Active,2022-01-17,2025-04-05,BR055
ACC00008801,CUST000088,Credit Card,-1584,9026.0,0.2184,Active,2020-06-27,2025-03-30,BR042
ACC00008901,CUST000089,Savings,8441,,0.0427,Active,2017-04-01,2024-12-18,BR028
ACC00008902,CUST000089,Money Market,20026,,0.0473,Inactive,2017-03-09,2025-04-21,BR028
ACC00009001,CUST000090,Credit Card,-1724,41321.0,0.1967,Frozen,2017-07-14,2025-01-23,BR053
ACC00009002,CUST000090,Checking,474,,0.0,Closed,2017-08-04,2025-05-23,BR053
ACC00009003,CUST000090,Savings,2578,,0.0191,Active,2017-07-21,2025-02-24,BR053
ACC00009101,CUST000091,Credit Card,-8131,24874.0,0.2239,Inactive,2018-11-05,2025-02-18,BR025
ACC00009102,CUST000091,Money Market,19073,,0.0387,Active,2018-11-08,2025-06-15,BR025
ACC00009103,CUST000091,Checking,18389,,0.0,Active,2018-11-04,2025-02-22,BR025
ACC00009104,CUST000091,Credit Card,-1715,32205.0,0.2012,Active,2018-10-20,2025-03-23,BR025
ACC00009201,CUST000092,Savings,4788,,0.0247,Active,2019-12-12,2025-01-22,BR040
ACC00009202,CUST000092,Savings,17355,,0.0343,Active,2019-11-30,2025-07-11,BR040
ACC00009203,CUST000092,CD,15323,,0.0491,Active,2019-12-01,2024-11-26,BR040
ACC00009301,CUST000093,Credit Card,-2011,19904.0,0.2083,Active,2017-12-01,2024-09-27,BR077
ACC00009302,CUST000093,Savings,8025,,0.0147,Inactive,2017-12-05,2025-01-26,BR077
ACC00009401,CUST000094,Savings,1976,,0.0448,Inactive,2018-04-28,2025-05-17,BR077
ACC00009501,CUST000095,Money Market,19243,,0.0116,Active,2023-11-23,2024-12-13,BR043
ACC00009502,CUST000095,CD,1451,,0.0216,Active,2023-11-01,2024-11-26,BR043
ACC00009503,CUST000095,Checking,11230,,0.0,Active,2023-11-18,2025-02-25,BR043
ACC00009601,CUST000096,Credit Card,-3266,26974.0,0.2056,Active,2022-01-10,2025-06-24,BR042
ACC00009701,CUST000097,CD,3963,,0.0389,Active,2015-09-18,2025-03-25,BR042
ACC00009801,CUST000098,Money Market,152,,0.0284,Active,2022-09-06,2025-02-10,BR047
ACC00009802,CUST000098,CD,3253,,0.0264,Active,2022-09-23,2024-10-10,BR047
ACC00009803,CUST000098,Money Market,3394,,0.0105,Active,2022-09-20,2025-04-24,BR047
ACC00009901,CUST000099,CD,13374,,0.0485,Inactive,2024-06-03,2025-03-05,BR026
ACC00009902,CUST000099,Savings,19010,,0.0441,Active,2024-06-02,2025-05-27,BR026
ACC00009903,CUST000099,Savings,23526,,0.0358,Inactive,2024-06-03,2025-06-01,BR026
ACC00010001,CUST000100,Checking,20039,,0.0,Active,2021-04-09,2024-11-15,BR117
ACC00010002,CUST000100,Savings,17496,,0.0266,Active,2021-04-13,2024-12-27,BR117
ACC00010003,CUST000100,Credit Card,-1969,37411.0,0.229,Active,2021-04-07,2024-12-11,BR117
ACC00010101,CUST000101,CD,1194,,0.0271,Active,2021-03-10,2024-10-18,BR086
ACC00010201,CUST000102,Savings,20618,,0.0182,Active,2024-12-13,2025-05-11,BR117
ACC00010301,CUST000103,Checking,10809,,0.0,Active,2015-11-04,2024-10-29,BR099
ACC00010302,CUST000103,Money Market,22097,,0.0334,Closed,2015-11-07,2025-07-02,BR099
ACC00010303,CUST000103,CD,19675,,0.0166,Active,2015-11-05,2025-04-29,BR099
ACC00010401,CUST000104,Checking,14182,,0.0,Active,2024-08-22,2025-06-16,BR061
ACC00010501,CUST000105,CD,365,,0.0455,Frozen,2023-10-04,2025-05-09,BR039
ACC00010601,CUST000106,Money Market,1997,,0.0138,Active,2022-12-15,2024-09-25,BR075
ACC00010602,CUST000106,Money Market,2267,,0.0182,Closed,2022-12-19,2024-10-13,BR075
ACC00010603,CUST000106,Credit Card,-1184,37858.0,0.1592,Active,2023-01-08,2025-04-13,BR075
ACC00010701,CUST000107,Credit Card,-5067,29376.0,0.1851,Active,2022-04-20,2024-12-23,BR003
ACC00010801,CUST000108,Money Market,6941,,0.0147,Active,2020-04-04,2024-12-11,BR091
ACC00010802,CUST000108,CD,8701,,0.0287,Active,2020-03-29,2025-01-01,BR091
ACC00010901,CUST000109,Checking,16526,,0.0,Active,2018-03-25,2025-04-08,BR055
ACC00011001,CUST000110,Checking,2614,,0.0,Closed,2024-10-18,2024-11-23,BR091
ACC00011101,CUST000111,Savings,13329,,0.0201,Active,2016-05-02,2025-04-08,BR043
ACC00011102,CUST000111,Credit Card,-340,46173.0,0.1911,Active,2016-04-12,2025-06-08,BR043
ACC00011103,CUST000111,Credit Card,-2960,49372.0,0.2485,Active,2016-04-19,2025-01-27,BR043
ACC00011201,CUST000112,Money Market,19766,,0.0473,Active,2015-12-18,2025-03-04,BR104
ACC00011202,CUST000112,Checking,21403,,0.0,Active,2015-12-20,2025-07-27,BR104
ACC00011203,CUST000112,CD,19802,,0.0402,Closed,2016-01-11,2025-08-22,BR104
ACC00011301,CUST000113,Checking,7834,,0.0,Active,2025-05-03,2024-09-24,BR025
ACC00011302,CUST000113,CD,7338,,0.0464,Active,2025-04-21,2024-12-10,BR025
ACC00011401,CUST000114,Money Market,4820,,0.0299,Active,2019-08-16,2024-09-27,BR028
ACC00011402,CUST000114,CD,3878,,0.0271,Active,2019-08-16,2024-12-02,BR028
ACC00011501,CUST000115,CD,16994,,0.0246,Active,2023-07-21,2024-09-21,BR091
ACC00011502,CUST000115,Money Market,19317,,0.027,Inactive,2023-07-21,2025-04-21,BR091
ACC00011601,CUST000116,Money Market,3926,,0.0294,Active,2017-04-15,2024-10-11,BR078
ACC00011701,CUST000117,Checking,4890,,0.0,Active,2015-12-15,2025-07-07,BR011
ACC00011702,CUST000117,Savings,4649,,0.0109,Active,2015-12-21,2025-01-28,BR011
ACC00011703,CUST000117,Credit Card,-366,29334.0,0.2287,Active,2015-12-31,2025-07-18,BR011
ACC00011801,CUST000118,Savings,7291,,0.018,Active,2022-08-03,2025-01-08,BR086
ACC00011802,CUST000118,Checking,23268,,0.0,Active,2022-08-09,2025-04-30,BR086
ACC00011901,CUST000119,CD,3426,,0.0146,Active,2018-04-27,2025-03-19,BR034
ACC00011902,CUST000119,Checking,371,,0.0,Closed,2018-04-03,2025-07-07,BR034
ACC00012001,CUST000120,Checking,771,,0.0,Active,2024-12-07,2025-07-02,BR018
ACC00012002,CUST000120,Credit Card,-171,21181.0,0.2026,Inactive,2024-11-30,2025-01-12,BR018
ACC00012101,CUST000121,Money Market,2418,,0.0173,Active,2024-08-26,2024-10-09,BR104
ACC00012102,CUST000121,CD,2157,,0.03,Active,2024-08-25,2025-02-04,BR104
ACC00012103,CUST000121,Checking,2242,,0.0,Active,2024-09-07,2025-03-08,BR104
ACC00012201,CUST000122,Credit Card,-89,1166.0,0.2364,Active,2015-12-31,2024-12-30,BR007
ACC00012202,CUST000122,CD,4186,,0.042,Inactive,2015-12-27,2025-08-09,BR007
ACC00012203,CUST000122,Money Market,16082,,0.0382,Active,2015-12-15,2025-06-28,BR007
ACC00012204,CUST000122,Money Market,21605,,0.0492,Inactive,2016-01-05,2025-01-12,BR007
ACC00012301,CUST000123,Credit Card,-1467,23454.0,0.2481,Frozen,2016-08-11,2024-12-26,BR055
ACC00012401,CUST000124,Savings,4444,,0.0365,Active,2016-09-29,2025-06-09,BR047
ACC00012402,CUST000124,CD,3820,,0.0345,Active,2016-10-17,2024-12-09,BR047
ACC00012403,CUST000124,CD,3882,,0.0367,Active,2016-10-11,2024-10-26,BR047
ACC00012501,CUST000125,CD,1586,,0.0491,Active,2025-08-30,2025-06-07,BR015
ACC00012502,CUST000125,CD,1068,,0.0118,Active,2025-08-17,2025-06-18,BR015
ACC00012503,CUST000125,Savings,3852,,0.0172,Inactive,2025-08-21,2025-02-03,BR015
ACC00012601,CUST000126,Savings,23106,,0.0169,Active,2021-07-13,2024-10-16,BR003
ACC00012602,CUST000126,Credit Card,-4649,38087.0,0.1939,Active,2021-07-07,2025-06-02,BR003
ACC00012603,CUST000126,Money Market,12897,,0.0348,Active,2021-07-17,2025-07-05,BR003
ACC00012701,CUST000127,Checking,3082,,0.0,Active,2016-12-27,2024-10-21,BR006
ACC00012702,CUST000127,CD,1701,,0.0163,Active,2017-01-13,2025-07-05,BR006
ACC00012703,CUST000127,CD,3924,,0.0103,Active,2016-12-19,2024-11-01,BR006
ACC00012801,CUST000128,Money Market,11100,,0.0371,Active,2021-07-24,2025-04-26,BR026
ACC00012802,CUST000128,CD,23148,,0.03,Active,2021-08-10,2025-01-17,BR026
ACC00012901,CUST000129,Savings,3489,,0.0102,Active,2017-06-09,2025-01-13,BR015
ACC00012902,CUST000129,Credit Card,-1040,23303.0,0.1906,Active,2017-05-27,2024-11-19,BR015
ACC00013001,CUST000130,Credit Card,-9016,28531.0,0.2254,Active,2021-12-21,2025-01-08,BR028
ACC00013002,CUST000130,Credit Card,-5517,40646.0,0.1974,Active,2022-01-19,2025-08-20,BR028
ACC00013101,CUST000131,Money Market,17415,,0.0251,Active,2022-08-19,2024-12-02,BR006
ACC00013102,CUST000131,CD,20371,,0.0217,Active,2022-07-26,2024-11-02,BR006
ACC00013103,CUST000131,Savings,14458,,0.021,Active,2022-08-17,2024-11-15,BR006
ACC00013201,CUST000132,CD,518,,0.0167,Active,2024-06-04,2024-11-26,BR087
ACC00013202,CUST000132,Savings,4114,,0.0258,Closed,2024-06-13,2025-05-07,BR087
ACC00013203,CUST000132,CD,2972,,0.0338,Active,2024-06-23,2025-04-04,BR087
ACC00013204,CUST000132,Money Market,2842,,0.0307,Active,2024-06-18,2024-09-03,BR087
ACC00013301,CUST000133,CD,3254,,0.0348,Active,2022-03-24,2025-06-25,BR057
ACC00013302,CUST000133,Credit Card,-906,49796.0,0.1578,Active,2022-03-09,2025-01-20,BR057
ACC00013401,CUST000134,Savings,10013,,0.0441,Active,2020-12-29,2025-02-04,BR068
ACC00013501,CUST000135,Money Market,11476,,0.0359,Active,2020-10-17,2025-06-06,BR014
ACC00013601,CUST000136,Savings,9296,,0.0109,Active,2023-12-13,2025-03-29,BR125
ACC00013602,CUST000136,Savings,15505,,0.0298,Frozen,2023-12-21,2025-02-09,BR125
ACC00013701,CUST000137,Checking,19322,,0.0,Active,2022-12-11,2025-01-27,BR068
ACC00013801,CUST000138,Money Market,99027,,0.0433,Active,2021-03-29,2025-03-29,BR055
ACC00013901,CUST000139,Credit Card,-2579,15876.0,0.2142,Active,2022-10-22,2025-06-25,BR126
ACC00014001,CUST000140,Money Market,13537,,0.0195,Active,2022-07-27,2025-03-31,BR050
ACC00014002,CUST000140,Money Market,46655,,0.0322,Active,2022-08-01,2025-04-25,BR050
ACC00014003,CUST000140,Checking,73181,,0.0,Active,2022-07-18,2025-06-20,BR050
ACC00014101,CUST000141,Checking,3168,,0.0,Active,2015-10-25,2025-05-22,BR022
ACC00014102,CUST000141,Credit Card,-203,48801.0,0.2034,Active,2015-11-16,2024-10-26,BR022
ACC00014103,CUST000141,CD,4854,,0.0175,Active,2015-11-10,2024-10-15,BR022
ACC00014201,CUST000142,Credit Card,-1014,27678.0,0.2101,Active,2016-12-28,2025-07-22,BR022
ACC00014202,CUST000142,Credit Card,-566,2912.0,0.1975,Active,2017-01-02,2025-01-13,BR022
ACC00014203,CUST000142,Savings,2814,,0.0487,Active,2017-01-16,2024-11-23,BR022
ACC00014204,CUST000142,Money Market,3862,,0.0241,Active,2017-01-11,2025-01-07,BR022
